tJ2,gxx,gxy,gzz
4.5,0.00601883,-0.000986803,0.00533309
4.52,0.00588913,-0.000987042,0.00521757
4.54,0.00576366,-0.00098597,0.00510538
4.56,0.00564234,-0.000983593,0.0049964
4.58,0.0055251,-0.00097992,0.00489053
4.6,0.00541185,-0.00097496,0.00478767
4.62,0.00530251,-0.000968728,0.0046877
4.64,0.00519702,-0.000961238,0.00459052
4.66,0.00509528,-0.000952509,0.00449604
4.68,0.00499723,-0.00094256,0.00440417
4.7,0.00490279,-0.000931414,0.00431481
4.72,0.00481188,-0.000919096,0.00422787
4.74,0.00472442,-0.000905633,0.00414327
4.76,0.00464034,-0.000891052,0.00406092
4.78,0.00455957,-0.000875386,0.00398075
4.8,0.00448203,-0.000858666,0.00390268
4.82,0.00440764,-0.000840928,0.00382663
4.84,0.00433632,-0.000822207,0.00375252
4.86,0.00426801,-0.000802542,0.0036803
4.88,0.00420262,-0.000781973,0.0036099
4.9,0.00414008,-0.00076054,0.00354124
4.92,0.00408032,-0.000738287,0.00347427
4.94,0.00402326,-0.000715256,0.00340894
4.96,0.00396882,-0.000691495,0.00334517
4.98,0.00391693,-0.000667048,0.00328293
5,0.00386751,-0.000641963,0.00322215
5.02,0.0038205,-0.000616289,0.00316279
5.04,0.0037758,-0.000590075,0.00310481
5.06,0.00373336,-0.000563371,0.00304815
5.08,0.00369309,-0.000536227,0.00299278
5.1,0.00365492,-0.000508695,0.00293865
5.12,0.00361877,-0.000480826,0.00288573
5.14,0.00358458,-0.000452673,0.00283399
5.16,0.00355226,-0.000424288,0.00278338
5.18,0.00352176,-0.000395722,0.00273389
5.2,0.00349298,-0.00036703,0.00268547
5.22,0.00346586,-0.000338262,0.00263811
5.24,0.00344034,-0.000309472,0.00259177
5.26,0.00341633,-0.000280712,0.00254644
5.28,0.00339377,-0.000252033,0.0025021
5.3,0.00337259,-0.000223487,0.00245872
5.32,0.00335272,-0.000195125,0.00241629
5.34,0.00333409,-0.000166997,0.0023748
5.36,0.00331664,-0.000139154,0.00233423
5.38,0.00330029,-0.000111643,0.00229457
5.4,0.003285,-8.45147e-05,0.00225582
5.42,0.00327068,-5.78149e-05,0.00221795
5.44,0.00325728,-3.15905e-05,0.00218098
5.46,0.00324474,-5.88702e-06,0.00214488
5.48,0.003233,1.92511e-05,0.00210967
5.5,0.00322199,4.37807e-05,0.00207533
5.52,0.00321167,6.76595e-05,0.00204188
5.54,0.00320197,9.08468e-05,0.00200929
5.56,0.00319284,0.000113303,0.00197759
5.58,0.00318424,0.00013499,0.00194677
5.6,0.0031761,0.000155871,0.00191683
5.62,0.00316838,0.00017591,0.00188779
5.64,0.00316103,0.000195075,0.00185964
5.66,0.003154,0.000213332,0.00183239
5.68,0.00314726,0.000230651,0.00180604
5.7,0.00314076,0.000247002,0.00178061
5.72,0.00313445,0.00026236,0.0017561
5.74,0.00312831,0.000276697,0.00173252
5.76,0.00312229,0.000289991,0.00170987
